merchant_sku,short_description,description,content_status,identity_source_type,identity_source_url,scent_family,top_notes,heart_notes,base_notes,official_gender
ARD-4255,عطر عطر حياتي فلورنس 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/hayaati-florence/,,,,,unisex
ARD-4256,عطر عطر انا الابيض كورال 60 مل من Lattafa بحجم 60 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/ana-abiyedh-coral/,,,,,unisex
ARD-4273,عطر أنغام من لطافة بحجم 100 مل، برائحة دافئة أنيقة تناسب الاستخدام اليومي والمساء بهوية لطافة الرسمية.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/angham/,,,,,unisex
ARD-4286,عطر عطر مشربية 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة ويتميز بطابع Mashrabya ضمن تشكيلة موثّقة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/mashrabya/,,,,,unisex
ARD-4300,معطر جو Badee Al Oud White من لطافة بحجم 300 مل، لتعطير المنزل والمفارش برائحة خط العطر الأصلي بتركيز منزلي عملي.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/badee-al-oud/,,,,,
ARD-4336,عطر عطر خمرة دخان 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/khamrah-dukhan/,,,,,unisex
ARD-4564,معطر جو Maahir من لطافة بحجم 300 مل، لتعطير المنزل والمفارش برائحة خط العطر الأصلي بتركيز منزلي عملي.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/maahir/,,,,,
ARD-463,عطر روعة العود من لطافة، بتركيبة عود خشبية فاخرة للجنسين تناسب الأمسيات والمناسبات.,عائلة عطرية: oud woody,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/rouat-al-oud/,oud woody,,,,unisex
ARD-4637,عطر عطر اسد بوربون من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/asad-bourbon/,,,,,men
ARD-465,عطر قمة للنساء من لطافة، بتركيبة غورماند زهرية بطابع أنثوي جذاب للاستخدام اليومي والمساء.,عائلة عطرية: gourmand floral,SECONDARY_DETAILED,official_distributor,https://www.lattafa-ca.com/p/qimmah/,gourmand floral,,,,women
ARD-466,عطر رغبة من لطافة، بتركيبة شرقية حلوة بطابع أنثوي جذاب يناسب الاستخدام اليومي والمناسبات.,عائلة عطرية: oriental sweet,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/raghba/,oriental sweet,,,,unisex
ARD-4660,عطر عطر ليان 75 مل من Lattafa بحجم 75 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/layaan/,,,,,unisex
ARD-4664,عطر نبراس إكسير من لطافة برايد بحجم 100 مل، بطابع أنثوي غني.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/nebras-elixir/,,,,,women
ARD-467,عطر مسك مود من لطافة بحجم 100 مل، بطابع مسكي ناعم مناسب للاستخدام اليومي.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/musk-mood/,,,,,unisex
ARD-4680,عطر عطر شهد كبير 150 مل من Lattafa بحجم 150 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/shahd/,,,,,women
ARD-4685,عطر عطر اسد الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Asad ضمن تشكيلة موثّقة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/asad-elixir/,,,,,men
ARD-4686,عطر عطر يارا الكسير 100 مل من Lattafa بحجم 100 مل، مخصص للنساء بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/yara-elixir/,,,,,women
ARD-4750,معطر جو Eclaire من لطافة بحجم 300 مل، لتعطير المنزل والمفارش برائحة خط العطر الأصلي بتركيز منزلي عملي ويتميز بطابع Eclaire ضمن تشكيلة موثّقة.,,SHORT_ONLY,official_manufacturer,https://lattafa.com/shop/,,,,,
ARD-4751,معطر جو Musamam White من لطافة بحجم 300 مل، لتعطير المنزل والمفارش برائحة خط العطر الأصلي بتركيز منزلي عملي ويتميز بطابع Musamam ضمن تشكيلة موثّقة ويتميز بطابع Musamam ضمن تشكيلة موثّقة ويتميز بطابع Musamam ضمن تشكيلة موثّقة ويتميز بطابع Musamam ضمن تشكيلة موثّقة.,,SHORT_ONLY,official_manufacturer,https://lattafa.com/shop/,,,,,
ARD-4752,معطر جو Noble Blush من لطافة بحجم 300 مل، لتعطير المنزل والمفارش برائحة خط العطر الأصلي بتركيز منزلي عملي ويتميز بطابع Badee ضمن تشكيلة موثّقة ويتميز بطابع Badee ضمن تشكيلة موثّقة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/badee-al-oud-noble-blush/,,,,,
ARD-4770,عطر أنا الأبيض سكارليت من لطافة بحجم 100 مل، بطابع أنثوي ضمن خط أنا الأبيض.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/ana-abiyedh-scarlet/,,,,,women
ARD-479,عطر قمة الرجالي من لطافة، بتركيبة خشبية حارة بطابع رجالي قوي يناسب الحضور اليومي.,عائلة عطرية: woody spicy,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/qimmah-men/,woody spicy,,,,men
ARD-4792,عطر مسمم إنتنس من لطافة بحجم 100 مل، بطابع قوي ثابت.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/musamam-intense/,,,,,unisex
ARD-4807,معطر جو نبراس من لطافة برايد بحجم 300 مل، لتعطير المنزل برائحة نبراس الغورماند الدافئة الأنيقة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/nebras/,,,,,
ARD-5036,عطر عطر ماهر هونور 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/maahir-honor/,,,,,unisex
ARD-5058,عطر عطر خمرة واحة 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Khamrah ضمن تشكيلة موثّقة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/khamrah-waha/,,,,,unisex
ARD-663,عطر أنا الأبيض روج من لطافة، إصدار أحمر بتركيبة فاكهية زهرية للجنسين بطابع حيوي.,عائلة عطرية: fruity floral,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/ana-abiyedh-rouge/,fruity floral,,,,unisex
ARD-715,عطر رمز لطافة الذهبي من لطافة، بتركيبة زهرية شرقية بطابع فاخر يناسب الاستخدام اليومي والمناسبات.,عائلة عطرية: floral oriental,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/ramz-gold/,floral oriental,,,,women
ARD-766,عطر أوراق العود من لطافة، بتركيبة عود خشبية رجالية بطابع شرقي أصيل.,عائلة عطرية: oud woody,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/awraq-al-oud/,oud woody,,,,men
ARD-775,زيت عطري / مسك عطر مسك السلامه من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,SHORT_ONLY,official_distributor,https://www.lattafa.my/perfumes/lattafa/salamah/,,,,,unisex
ARD-823,عطر شيخ الشيوخ من لطافة، بتركيبة عود وعنبر رجالية كلاسيكية بطابع فاخر وثابت.,عائلة عطرية: oud amber,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/sheikh-al-shuyukh/,oud amber,,,,men
ARD-92,عطر شيخ الشيوخ المركز من لطافة، بتركيبة عود وعنبر مركّزة بطابع رجالي فاخر يناسب الاستخدام اليومي والمناسبات.,عائلة عطرية: oud amber,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/sheikh-al-shuyukh-concentrated/,oud amber,,,,men
ARD-957,عطر 24 قيراط الذهبي من لطافة، بتركيبة عود وعنبر وفانيليا فاخرة للجنسين.,عائلة عطرية: amber vanilla oud,SECONDARY_DETAILED,official_distributor,https://www.lattafa-ca.com/p/24-carat-pure-gold/,amber vanilla oud,,,,unisex
ARD-958,عطر 24 قيراط الأبيض/السلفر من لطافة، بتركيبة عنبرية خشبية أنيقة للجنسين.,عائلة عطرية: amber woody,SECONDARY_DETAILED,official_distributor,https://www.lattafa-ca.com/p/24-carat-white-gold/,amber woody,,,,unisex
ARD-959,عطر نجدية من لطافة للرجال، بتركيبة منعشة حارة بطابع يومي واضح وثابت.,عائلة عطرية: fresh spicy,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/najdia/,fresh spicy,,,,men
ARD-970,عطر قائد الفرسان من لطافة، بتركيبة حلوة دخانية رجالية بطابع جريء وثابت.,عائلة عطرية: sweet smoky,SECONDARY_DETAILED,official_distributor,https://www.lattafa.my/perfumes/lattafa/qaed-al-fursan/,sweet smoky,,,,men
